gvkey,call_year,n_surviving_calls
001161,2018,4
001161,2019,4
001161,2020,4
001161,2021,4
001161,2022,3
001209,2018,4
001209,2019,4
001209,2020,4
001209,2021,4
001209,2022,4
001300,2018,4
001300,2019,4
001300,2020,4
001300,2021,4
001300,2022,3
001327,2018,4
001327,2019,4
001327,2020,4
001327,2021,4
001327,2022,4
001602,2018,4
001602,2019,4
001602,2020,2
001602,2021,3
001602,2022,2
001891,2018,3
001891,2019,4
001891,2020,4
001891,2021,4
001891,2022,4
002086,2018,4
002086,2019,4
002086,2020,4
002086,2021,4
002086,2022,3
002136,2019,4
002136,2020,4
002136,2021,4
002136,2022,3
002285,2018,4
002285,2019,3
002285,2020,4
002285,2021,4
002285,2022,3
002663,2019,3
002663,2020,4
002663,2021,4
002663,2022,4
002884,2018,4
002884,2019,4
002884,2020,4
002884,2021,4
002884,2022,3
003062,2021,4
003062,2022,4
003144,2018,4
003144,2019,4
003144,2020,4
003144,2021,4
003144,2022,3
003226,2018,4
003226,2019,4
003226,2020,4
003226,2021,4
003226,2022,3
003650,2018,4
003650,2019,4
003650,2020,4
003650,2021,4
003650,2022,2
004321,2018,4
004321,2019,4
004321,2020,4
004321,2021,4
004321,2022,4
004510,2018,4
004510,2019,4
004510,2020,4
004510,2021,4
004510,2022,3
004818,2018,4
004818,2019,4
004818,2021,4
004818,2022,3
005047,2018,2
005047,2019,4
005047,2020,4
005047,2021,4
005047,2022,3
005959,2018,4
005959,2019,4
005959,2020,4
005959,2021,4
005959,2022,3
006008,2018,4
006008,2019,4
006008,2020,4
006008,2021,4
006008,2022,3
006066,2020,4
006066,2021,4
006066,2022,3
006216,2018,4
006216,2019,4
006216,2020,4
006216,2021,4
006216,2022,4
006304,2018,3
006304,2019,4
006304,2020,4
006304,2021,4
006304,2022,4
006435,2018,3
006435,2019,4
006435,2020,4
006435,2021,4
006435,2022,3
006669,2018,4
006669,2019,4
006669,2020,2
006669,2021,4
006669,2022,4
007343,2018,3
007343,2019,4
007343,2020,4
007343,2021,2
007985,2018,3
007985,2019,4
007985,2020,4
007985,2021,4
007985,2022,3
008543,2018,3
008543,2019,4
008543,2020,4
008543,2021,4
008543,2022,3
008762,2018,2
008762,2022,3
009777,2018,2
009777,2019,4
009777,2020,4
009777,2021,4
009777,2022,4
010115,2018,4
010115,2019,4
010115,2020,4
010115,2021,4
010115,2022,3
010867,2018,4
010867,2019,4
010867,2020,4
010867,2021,4
010867,2022,3
011259,2021,4
011259,2022,4
012540,2018,4
012540,2019,4
012540,2020,4
012540,2021,4
012540,2022,4
012635,2018,4
012635,2019,4
012635,2020,4
012635,2021,4
012635,2022,3
013421,2018,4
013421,2019,4
013421,2020,4
013421,2021,2
013421,2022,3
013498,2018,4
013498,2019,4
013498,2020,2
013498,2021,4
013498,2022,2
013721,2018,4
013721,2019,3
013721,2020,4
013721,2021,4
013721,2022,3
014282,2018,4
014282,2019,4
014282,2020,4
014282,2021,4
014282,2022,3
014934,2018,4
014934,2019,4
014934,2020,3
014934,2021,4
014934,2022,3
015855,2018,2
015855,2019,3
015855,2020,4
015855,2021,3
015855,2022,4
016101,2018,4
016101,2019,4
016101,2020,4
016101,2021,4
016101,2022,3
020548,2018,4
020548,2019,4
020548,2020,4
020548,2021,2
020548,2022,3
023809,2018,3
023809,2019,4
023809,2020,4
023809,2021,4
023809,2022,4
024468,2018,4
024468,2019,4
024468,2020,4
024468,2021,4
024468,2022,3
025340,2018,3
025340,2019,4
025340,2020,4
025340,2021,4
025340,2022,4
025434,2018,4
025434,2019,4
025434,2020,4
025434,2021,4
026590,2018,4
026590,2019,4
026590,2020,4
026590,2021,4
026590,2022,3
027786,2018,4
027786,2019,4
027786,2021,2
027786,2022,3
028180,2019,3
028180,2020,4
028180,2021,4
028180,2022,3
028930,2018,4
028930,2019,4
028930,2020,3
028930,2022,3
029736,2018,4
029736,2019,4
029736,2020,4
029736,2021,4
029736,2022,3
029751,2018,4
029751,2019,4
029751,2020,4
029751,2021,4
029751,2022,3
030923,2018,4
030923,2019,4
030923,2020,4
030923,2021,4
030923,2022,3
031673,2018,4
031673,2019,4
